city,strain_year,year,subtype,reference_strain,epi_alarm,start,epi_counts,incidence_per_mil,epi_fractional_counts,new_ag_marker,first_detection_of_new_ag,first_n_biggest,relative_to_first_n_biggest,delay,prior_everything_scaled,mean_epi_size,type,earliest_A,largest_A,poor_timeseries,earliest_geog_start,firstNbiggest_earliest_geog,largest_geog_start,firstNbiggest_largest_geog,poor_timeseries_geog_start,firstNbiggest_poor_geog
BRISBANE,2000_A/Moscow/10/99-like,2000,H3,A/Moscow/10/99-like,Y,17,55,33.11930235,0.591397849,NA,NA,Y,1,0,0,51.11186916,A,Y,Y,N,17,Y,17,Y,17,Y
BRISBANE,2000_B/Sichuan/379/99-like,2000,B/Yam,B/Sichuan/379/99-like,Y,17,38,22.88242708,0.408602151,NA,NA,N,0.690909091,0,0,51.11186916,B,N,N,N,17,N,17,N,17,N
BRISBANE,2000_A/New Caledonia/20/99-like,2000,H1sea,A/New Caledonia/20/99-like,N,NA,NA,NA,NA,NA,NA,N,NA,NA,NA,51.11186916,A,N,N,N,NA,N,NA,N,NA,N
BRISBANE,2001_A/New Caledonia/20/99-like,2001,H1sea,A/New Caledonia/20/99-like,Y,14,140,82.66629506,0.897435897,1,0,Y,1,0,0,51.11186916,A,Y,Y,N,14,Y,14,Y,14,Y
BRISBANE,2001_A/Moscow/10/99-like,2001,H3,A/Moscow/10/99-like,Y,15,16,9.447576579,0.102564103,0,0,N,0.114285714,1,0.057762859,51.11186916,A,N,N,N,15,N,15,N,15,N
BRISBANE,2001_B/Sichuan/379/99-like,2001,B/Yam,B/Sichuan/379/99-like,N,NA,NA,NA,NA,0,0,N,NA,NA,NA,51.11186916,B,N,N,N,NA,N,NA,N,NA,N
BRISBANE,2002_A/Moscow/10/99-like,2002,H3,A/Moscow/10/99-like,Y,12,323,186.0888502,0.821882952,0,0,N,4.614285714,1,0.033815617,51.11186916,A,Y,Y,N,12,N,12,N,12,N
BRISBANE,2002_B/Hong Kong/330/2001-like,2002,B/Vic,B/Hong Kong/330/2001-like,Y,11,70,40.32885299,0.178117048,1,1,Y,1,0,0,51.11186916,B,N,N,N,11,Y,11,Y,11,Y
BRISBANE,2003_A/Fujian/411/2002-like,2003,H3,A/Fujian/411/2002-like,Y,14,326,183.0792126,1,1,1,Y,1,0,0,51.11186916,A,Y,Y,N,14,Y,14,Y,14,Y
BRISBANE,2003_A/Moscow/10/99-like,2003,H3,A/Moscow/10/99-like,N,NA,NA,NA,NA,0,0,N,NA,NA,NA,51.11186916,A,N,N,N,NA,N,NA,N,NA,N
BRISBANE,2004_A/California/7/2004-like,2004,H3,A/California/7/2004-like,Y,17,159,87.19514603,0.919075145,1,1,Y,1,0,0,51.11186916,A,Y,Y,N,17,Y,17,Y,17,Y
BRISBANE,2004_B/Shanghai/361/2002-like,2004,B/Yam,B/Shanghai/361/2002-like,Y,18,14,7.677560028,0.080924855,1,1,N,0.088050314,1,0.075105452,51.11186916,B,N,N,N,18,N,18,N,18,N
BRISBANE,2004_B/Florida/4/2006-like,2004,B/Yam,B/Florida/4/2006-like,N,NA,NA,NA,NA,0,1,N,NA,NA,NA,51.11186916,B,N,N,N,NA,N,NA,N,NA,N
BRISBANE,2004_A/New Caledonia/20/99-like,2004,H1sea,A/New Caledonia/20/99-like,N,NA,NA,NA,NA,0,0,N,NA,NA,NA,51.11186916,A,N,N,N,NA,N,NA,N,NA,N
BRISBANE,2005_A/Wisconsin/67/2005-like,2005,H3,A/Wisconsin/67/2005-like,Y,12,220,117.8859828,0.625,1,1,Y,1,0,0,51.11186916,A,Y,Y,N,12,Y,12,Y,12,Y
BRISBANE,2005_B/Shanghai/361/2002-like,2005,B/Yam,B/Shanghai/361/2002-like,Y,12,40,21.43381506,0.113636364,0,0,N,0.181818182,0,0,51.11186916,B,N,N,N,12,N,12,N,12,N
BRISBANE,2005_A/New Caledonia/20/99-like,2005,H1sea,A/New Caledonia/20/99-like,Y,15,36,19.29043355,0.102272727,0,0,N,0.163636364,3,0.555640117,51.11186916,A,N,N,N,15,N,15,N,15,N
